event	round	count	exit
mem_inst_retired.stlb_miss_stores:u	1	10000	0
mem_inst_retired.stlb_miss_stores:u	2	10000	0
mem_inst_retired.stlb_miss_stores:u	3	10000	0
mem_inst_retired.stlb_miss_stores:u	4	10000	0
mem_inst_retired.stlb_miss_stores:u	5	10000	0
mem_inst_retired.stlb_miss_stores:u	6	10000	0
mem_inst_retired.stlb_miss_stores:u	7	10000	0
mem_inst_retired.stlb_miss_stores:u	8	10000	0
mem_inst_retired.stlb_miss_stores:u	9	10000	0
mem_inst_retired.stlb_miss_stores:u	10	10000	0
dtlb-loads:u	1	79504919	0
dtlb-loads:u	2	79504908	0
cpu_clk_unhalted.ref_xclk:u	1	119333781	0
cpu_clk_unhalted.ref_xclk:u	2	119513287	0
uops_issued.any:u	1	11930774952	0
uops_issued.any:u	2	11929411497	0
