event	round	count	exit
mem_load_l3_hit_retired.xsnp_fwd:u	1	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	2	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	3	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	4	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	5	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	6	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	7	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	8	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	9	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	10	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	11	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	12	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	13	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	14	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	15	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	16	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	17	0	0
mem_load_l3_hit_retired.xsnp_fwd:u	18	1	0
idq_uops_not_delivered.core:u	1	9090660109	0
idq_uops_not_delivered.core:u	2	9086428712	0
inst_decoded.decoders:u	1	75882376	0
inst_decoded.decoders:u	2	75619748	0
dtlb_load_misses.walk_pending:u	1	1085	0
dtlb_load_misses.walk_pending:u	2	1100	0
