event	round	count	exit
l2_rqsts.rfo_hit:u	1	40741	0
l2_rqsts.rfo_hit:u	2	50641	0
idq.dsb_cycles_any:u	1	36173359	0
idq.dsb_cycles_any:u	2	37151468	0
br_inst_retired.near_return:u	1	200000	0
br_inst_retired.near_return:u	2	200000	0
br_inst_retired.near_return:u	3	200000	0
br_inst_retired.near_return:u	4	200000	0
br_inst_retired.near_return:u	5	200000	0
br_inst_retired.near_return:u	6	200000	0
br_inst_retired.near_return:u	7	200000	0
br_inst_retired.near_return:u	8	200000	0
br_inst_retired.near_return:u	9	200000	0
br_inst_retired.near_return:u	10	200000	0
uops_dispatched.port_5:u	1	1899515806	0
uops_dispatched.port_5:u	2	1900021760	0
