event	round	count	exit
l1d.hwpf_miss:u	1	28036	0
l1d.hwpf_miss:u	2	27038	0
fp_arith_dispatched.port_5:u	1	2798441	0
fp_arith_dispatched.port_5:u	2	2789955	0
br_inst_retired.cond:u	1	8220000	0
br_inst_retired.cond:u	2	8220000	0
br_inst_retired.cond:u	3	8220000	0
br_inst_retired.cond:u	4	8220000	0
br_inst_retired.cond:u	5	8220000	0
misc2_retired.lfence:u	1	100000	0
misc2_retired.lfence:u	2	100000	0
misc2_retired.lfence:u	3	100000	0
misc2_retired.lfence:u	4	100000	0
misc2_retired.lfence:u	5	100000	0
