event	round	count	exit
mem_load_l3_miss_retired.remote_hitm:u	1	0	0
mem_load_l3_miss_retired.remote_hitm:u	2	0	0
mem_load_l3_miss_retired.remote_hitm:u	3	0	0
mem_load_l3_miss_retired.remote_hitm:u	4	0	0
mem_load_l3_miss_retired.remote_hitm:u	5	0	0
mem_load_l3_miss_retired.remote_hitm:u	6	0	0
mem_load_l3_miss_retired.remote_hitm:u	7	0	0
mem_load_l3_miss_retired.remote_hitm:u	8	0	0
mem_load_l3_miss_retired.remote_hitm:u	9	0	0
mem_load_l3_miss_retired.remote_hitm:u	10	0	0
llc-load-misses:u	1	448435	0
llc-load-misses:u	2	454743	0
cycle_activity.stalls_mem_any:u	1	211610469	0
cycle_activity.stalls_mem_any:u	2	208684808	0
dtlb_load_misses.walk_completed:u	1	30	0
dtlb_load_misses.walk_completed:u	2	31	0
