event	round	count	exit
mem_inst_retired.all_stores:u	1	24060000	0
mem_inst_retired.all_stores:u	2	24060000	0
mem_inst_retired.all_stores:u	3	24060000	0
mem_inst_retired.all_stores:u	4	24060000	0
mem_inst_retired.all_stores:u	5	24060000	0
mem_inst_retired.all_stores:u	6	24060000	0
mem_inst_retired.all_stores:u	7	24060000	0
mem_inst_retired.all_stores:u	8	24060000	0
mem_inst_retired.all_stores:u	9	24060000	0
mem_inst_retired.all_stores:u	10	24060000	0
mem_inst_retired.all_stores:u	11	24060000	0
mem_inst_retired.all_stores:u	12	24060000	0
mem_inst_retired.all_stores:u	13	24060000	0
mem_inst_retired.all_stores:u	14	24060000	0
mem_inst_retired.all_stores:u	15	24060000	0
mem_inst_retired.all_stores:u	16	24060000	0
mem_inst_retired.all_stores:u	17	24060000	0
mem_inst_retired.all_stores:u	18	24060000	0
mem_inst_retired.all_stores:u	19	24060000	0
mem_inst_retired.all_stores:u	20	24060000	0
mem_inst_retired.all_stores:u	21	24060000	0
mem_inst_retired.all_stores:u	22	24060000	0
mem_inst_retired.all_stores:u	23	24060000	0
mem_inst_retired.all_stores:u	24	24060000	0
mem_inst_retired.all_stores:u	25	24060000	0
mem_inst_retired.all_stores:u	26	24060000	0
mem_inst_retired.all_stores:u	27	24060000	0
mem_inst_retired.all_stores:u	28	24060000	0
mem_inst_retired.all_stores:u	29	24060000	0
mem_inst_retired.all_stores:u	30	24060000	0
mem_inst_retired.all_stores:u	31	24060000	0
mem_inst_retired.all_stores:u	32	24060000	0
mem_inst_retired.all_stores:u	33	24060000	0
mem_inst_retired.all_stores:u	34	24060000	0
mem_inst_retired.all_stores:u	35	24060000	0
mem_inst_retired.all_stores:u	36	24060000	0
mem_inst_retired.all_stores:u	37	24060000	0
mem_inst_retired.all_stores:u	38	24060000	0
mem_inst_retired.all_stores:u	39	24060000	0
mem_inst_retired.all_stores:u	40	24060000	0
mem_inst_retired.all_stores:u	41	24060000	0
mem_inst_retired.all_stores:u	42	24060000	0
mem_inst_retired.all_stores:u	43	24060000	0
mem_inst_retired.all_stores:u	44	24060000	0
mem_inst_retired.all_stores:u	45	24060000	0
mem_inst_retired.all_stores:u	46	24060000	0
mem_inst_retired.all_stores:u	47	24060000	0
mem_inst_retired.all_stores:u	48	24060000	0
mem_inst_retired.all_stores:u	49	24060000	0
mem_inst_retired.all_stores:u	50	24060000	0
mem_inst_retired.all_stores:u	51	24060000	0
mem_inst_retired.all_stores:u	52	24060000	0
mem_inst_retired.all_stores:u	53	24060000	0
mem_inst_retired.all_stores:u	54	24060000	0
mem_inst_retired.all_stores:u	55	24060000	0
mem_inst_retired.all_stores:u	56	24060000	0
mem_inst_retired.all_stores:u	57	24060000	0
mem_inst_retired.all_stores:u	58	24060000	0
mem_inst_retired.all_stores:u	59	24060000	0
mem_inst_retired.all_stores:u	60	24060000	0
mem_inst_retired.all_stores:u	61	24060000	0
mem_inst_retired.all_stores:u	62	24060000	0
mem_inst_retired.all_stores:u	63	24060000	0
mem_inst_retired.all_stores:u	64	24060000	0
mem_inst_retired.all_stores:u	65	24060000	0
mem_inst_retired.all_stores:u	66	24060000	0
mem_inst_retired.all_stores:u	67	24060000	0
mem_inst_retired.all_stores:u	68	24060000	0
mem_inst_retired.all_stores:u	69	24060000	0
mem_inst_retired.all_stores:u	70	24060000	0
mem_inst_retired.all_stores:u	71	24060000	0
mem_inst_retired.all_stores:u	72	24060000	0
mem_inst_retired.all_stores:u	73	24059999	0
idq_uops_not_delivered.core:u	1	7213195619	0
idq_uops_not_delivered.core:u	2	7212701734	0
br_misp_retired.near_taken:u	1	54	0
br_misp_retired.near_taken:u	2	56	0
uops_executed.cycles_ge_2:u	1	3677498162	0
uops_executed.cycles_ge_2:u	2	3676729786	0
