event	round	count	exit
L1-dcache-stores:u	1	24060000	0
L1-dcache-stores:u	2	24060000	0
L1-dcache-stores:u	3	24060000	0
L1-dcache-stores:u	4	24060000	0
L1-dcache-stores:u	5	24060000	0
mem_uop_retired.any:u	1	1590572888	0
mem_uop_retired.any:u	2	1590572953	0
tx_mem.abort_capacity_write:u	1	0	0
tx_mem.abort_capacity_write:u	2	0	0
tx_mem.abort_capacity_write:u	3	0	0
tx_mem.abort_capacity_write:u	4	0	0
tx_mem.abort_capacity_write:u	5	0	0
int_vec_retired.shuffles:u	1	0	0
int_vec_retired.shuffles:u	2	0	0
int_vec_retired.shuffles:u	3	0	0
int_vec_retired.shuffles:u	4	0	0
int_vec_retired.shuffles:u	5	0	0
