event	round	count	exit
l2_rqsts.swpf_hit:u	1	0	0
l2_rqsts.swpf_hit:u	2	0	0
l2_rqsts.swpf_hit:u	3	0	0
l2_rqsts.swpf_hit:u	4	0	0
l2_rqsts.swpf_hit:u	5	0	0
l2_rqsts.swpf_hit:u	6	0	0
l2_rqsts.swpf_hit:u	7	0	0
l2_rqsts.swpf_hit:u	8	0	0
l2_rqsts.swpf_hit:u	9	0	0
l2_rqsts.swpf_hit:u	10	0	0
idq.dsb_uops:u	1	189432906	0
idq.dsb_uops:u	2	189758219	0
br_misp_retired.all_branches:u	1	119	0
br_misp_retired.all_branches:u	2	95	0
uops_dispatched.port_7_8:u	1	105425985	0
uops_dispatched.port_7_8:u	2	105246408	0
