event	round	count	exit
dTLB-stores:u	1	24060000	0
dTLB-stores:u	2	24060000	0
dTLB-stores:u	3	24060000	0
dTLB-stores:u	4	24060000	0
dTLB-stores:u	5	24060000	0
sw_prefetch_access.prefetchw:u	1	0	0
sw_prefetch_access.prefetchw:u	2	0	0
sw_prefetch_access.prefetchw:u	3	0	0
sw_prefetch_access.prefetchw:u	4	0	0
sw_prefetch_access.prefetchw:u	5	0	0
rs.empty:u	1	343863891	0
rs.empty:u	2	357786988	0
ld_blocks.no_sr:u	1	0	0
ld_blocks.no_sr:u	2	0	0
ld_blocks.no_sr:u	3	0	0
ld_blocks.no_sr:u	4	0	0
ld_blocks.no_sr:u	5	0	0
