event	round	count	exit
branch-instructions:u	1	9251333	0
branch-instructions:u	2	9251342	0
mem_load_l3_miss_retired.remote_hitm:u	1	0	0
mem_load_l3_miss_retired.remote_hitm:u	2	0	0
mem_load_l3_miss_retired.remote_hitm:u	3	0	0
mem_load_l3_miss_retired.remote_hitm:u	4	0	0
mem_load_l3_miss_retired.remote_hitm:u	5	0	0
memory_activity.stalls_l2_miss:u	1	212509476	0
memory_activity.stalls_l2_miss:u	2	253379835	0
int_misc.clear_resteer_cycles:u	1	15989041	0
int_misc.clear_resteer_cycles:u	2	16024077	0
dtlb_store_misses.walk_pending:u	1	791620	0
dtlb_store_misses.walk_pending:u	2	795047	0
