event	round	count	exit
el-commit:u	1	0	0
el-commit:u	2	0	0
el-commit:u	3	0	0
el-commit:u	4	0	0
el-commit:u	5	0	0
l1d_pend_miss.pending_cycles:u	1	170670860	0
l1d_pend_miss.pending_cycles:u	2	192549136	0
l2_rqsts.references:u	1	3104178	0
l2_rqsts.references:u	2	3073216	0
mem_load_l3_miss_retired.remote_dram:u	1	0	0
mem_load_l3_miss_retired.remote_dram:u	2	0	0
mem_load_l3_miss_retired.remote_dram:u	3	0	0
mem_load_l3_miss_retired.remote_dram:u	4	0	0
mem_load_l3_miss_retired.remote_dram:u	5	0	0
fp_arith_inst_retired.256b_packed_single:u	1	0	0
fp_arith_inst_retired.256b_packed_single:u	2	0	0
fp_arith_inst_retired.256b_packed_single:u	3	0	0
fp_arith_inst_retired.256b_packed_single:u	4	0	0
fp_arith_inst_retired.256b_packed_single:u	5	0	0
idq.all_dsb_cycles_4_uops:u	1	33031998	0
idq.all_dsb_cycles_4_uops:u	2	33096690	0
idq_uops_not_delivered.cycles_le_2_uop_deliv.core:u	1	4996489966	0
idq_uops_not_delivered.cycles_le_2_uop_deliv.core:u	2	4996553968	0
rtm_retired.commit:u	1	0	0
rtm_retired.commit:u	2	0	0
rtm_retired.commit:u	3	0	0
rtm_retired.commit:u	4	0	0
rtm_retired.commit:u	5	0	0
core_snoop_response.rsp_ifwdm:u	1	403889	0
core_snoop_response.rsp_ifwdm:u	2	405113	0
br_misp_exec.all_branches:u	1	110	0
br_misp_exec.all_branches:u	2	96	0
cycle_activity.cycles_l2_miss:u	1	199134913	0
cycle_activity.cycles_l2_miss:u	2	164577373	0
int_misc.recovery_cycles:u	1	10899929	0
int_misc.recovery_cycles:u	2	10870736	0
uops_dispatched_port.port_0:u	1	1996322544	0
uops_dispatched_port.port_0:u	2	1998535625	0
uops_executed.thread:u	1	13256478657	0
uops_executed.thread:u	2	13260034233	0
dtlb_store_misses.stlb_hit:u	1	50803	0
dtlb_store_misses.stlb_hit:u	2	62111	0
dTLB-loads:u	1	79959991	0
dTLB-loads:u	2	79959987	0
