event	round	count	exit
l1d_pend_miss.fb_full_periods:u	1	488	0
l1d_pend_miss.fb_full_periods:u	2	533	0
fp_arith_inst_retired.512b_packed_single:u	1	0	0
fp_arith_inst_retired.512b_packed_single:u	2	0	0
fp_arith_inst_retired.512b_packed_single:u	3	0	0
fp_arith_inst_retired.512b_packed_single:u	4	0	0
fp_arith_inst_retired.512b_packed_single:u	5	0	0
fp_arith_inst_retired.512b_packed_single:u	6	0	0
fp_arith_inst_retired.512b_packed_single:u	7	0	0
fp_arith_inst_retired.512b_packed_single:u	8	0	0
fp_arith_inst_retired.512b_packed_single:u	9	0	0
fp_arith_inst_retired.512b_packed_single:u	10	0	0
tx_mem.abort_capacity_read:u	1	0	0
tx_mem.abort_capacity_read:u	2	0	0
tx_mem.abort_capacity_read:u	3	0	0
tx_mem.abort_capacity_read:u	4	0	0
tx_mem.abort_capacity_read:u	5	0	0
tx_mem.abort_capacity_read:u	6	0	0
tx_mem.abort_capacity_read:u	7	0	0
tx_mem.abort_capacity_read:u	8	0	0
tx_mem.abort_capacity_read:u	9	0	0
tx_mem.abort_capacity_read:u	10	0	0
machine_clears.count:u	1	125029	0
machine_clears.count:u	2	125012	0
