event	round	count	exit
branch-misses:u	1	132	0
branch-misses:u	2	116	0
topdown-total-slots:u	1	30702559848	0
topdown-total-slots:u	2	30645139492	0
l2_rqsts.all_pf:u	1	1569554	0
l2_rqsts.all_pf:u	2	1537011	0
mem_inst_retired.split_loads:u	1	100000	0
mem_inst_retired.split_loads:u	2	100000	0
mem_inst_retired.split_loads:u	3	100000	0
mem_inst_retired.split_loads:u	4	100000	0
mem_inst_retired.split_loads:u	5	100000	0
mem_load_retired.l3_miss:u	1	292854	0
mem_load_retired.l3_miss:u	2	306841	0
baclears.any:u	1	160	0
baclears.any:u	2	197	0
idq.ms_cycles:u	1	5502566805	0
idq.ms_cycles:u	2	5502956250	0
hle_retired.commit:u	1	0	0
hle_retired.commit:u	2	0	0
hle_retired.commit:u	3	0	0
hle_retired.commit:u	4	0	0
hle_retired.commit:u	5	0	0
tx_mem.abort_hle_elision_buffer_not_empty:u	1	0	0
tx_mem.abort_hle_elision_buffer_not_empty:u	2	0	0
tx_mem.abort_hle_elision_buffer_not_empty:u	3	0	0
tx_mem.abort_hle_elision_buffer_not_empty:u	4	0	0
tx_mem.abort_hle_elision_buffer_not_empty:u	5	0	0
br_inst_retired.all_branches:u	1	9253185	0
br_inst_retired.all_branches:u	2	9253185	0
br_inst_retired.all_branches:u	3	9253193	0
cpu_clk_unhalted.one_thread_active:u	1	76365412	0
cpu_clk_unhalted.one_thread_active:u	2	76418083	0
exe_activity.bound_on_stores:u	1	6590505	0
exe_activity.bound_on_stores:u	2	6588302	0
machine_clears.count:u	1	126034	0
machine_clears.count:u	2	126070	0
uops_executed.core_cycles_ge_2:u	1	3298822608	0
uops_executed.core_cycles_ge_2:u	2	3300523129	0
dtlb_load_misses.miss_causes_a_walk:u	1	400145	0
dtlb_load_misses.miss_causes_a_walk:u	2	400135	0
itlb_misses.walk_completed:u	1	19	0
itlb_misses.walk_completed:u	2	7	0
