event	round	count	exit
l2_rqsts.demand_data_rd_hit:u	1	18917	0
l2_rqsts.demand_data_rd_hit:u	2	21760	0
fp_arith_inst_retired2.scalar_half:u	1	0	0
fp_arith_inst_retired2.scalar_half:u	2	0	0
fp_arith_inst_retired2.scalar_half:u	3	0	0
fp_arith_inst_retired2.scalar_half:u	4	0	0
fp_arith_inst_retired2.scalar_half:u	5	0	0
cpu_clk_unhalted.pause:u	1	3300000	0
cpu_clk_unhalted.pause:u	2	3300000	0
cpu_clk_unhalted.pause:u	3	3300000	0
cpu_clk_unhalted.pause:u	4	3300000	0
cpu_clk_unhalted.pause:u	5	3300000	0
uops_executed.core_cycles_ge_3:u	1	1792230673	0
uops_executed.core_cycles_ge_3:u	2	1790292891	0
