event	round	count	exit
l2_rqsts.code_rd_hit:u	1	113542	0
l2_rqsts.code_rd_hit:u	2	113502	0
fp_arith_inst_retired2.complex_scalar_half:u	1	0	0
fp_arith_inst_retired2.complex_scalar_half:u	2	0	0
fp_arith_inst_retired2.complex_scalar_half:u	3	0	0
fp_arith_inst_retired2.complex_scalar_half:u	4	0	0
fp_arith_inst_retired2.complex_scalar_half:u	5	0	0
cpu_clk_unhalted.distributed:u	1	3775014699	0
cpu_clk_unhalted.distributed:u	2	3789894448	0
uops_executed.core_cycles_ge_1:u	1	2734389488	0
uops_executed.core_cycles_ge_1:u	2	2733823881	0
