event	round	count	exit
mem_load_l3_miss_retired.remote_dram:u	1	0	0
mem_load_l3_miss_retired.remote_dram:u	2	0	0
mem_load_l3_miss_retired.remote_dram:u	3	0	0
mem_load_l3_miss_retired.remote_dram:u	4	0	0
mem_load_l3_miss_retired.remote_dram:u	5	0	0
mem_load_l3_miss_retired.remote_dram:u	6	0	0
mem_load_l3_miss_retired.remote_dram:u	7	0	0
mem_load_l3_miss_retired.remote_dram:u	8	0	0
mem_load_l3_miss_retired.remote_dram:u	9	0	0
mem_load_l3_miss_retired.remote_dram:u	10	0	0
l1-dcache-stores:u	1	24060000	0
l1-dcache-stores:u	2	24060000	0
l1-dcache-stores:u	3	24060000	0
l1-dcache-stores:u	4	24060000	0
l1-dcache-stores:u	5	24060000	0
l1-dcache-stores:u	6	24060000	0
l1-dcache-stores:u	7	24060000	0
l1-dcache-stores:u	8	24060000	0
l1-dcache-stores:u	9	24060000	0
l1-dcache-stores:u	10	24060000	0
cycle_activity.stalls_l1d_miss:u	1	39294659	0
cycle_activity.stalls_l1d_miss:u	2	37766890	0
dtlb_load_misses.stlb_hit:u	1	23280	0
dtlb_load_misses.stlb_hit:u	2	23296	0
