event	round	count	exit
l2_rqsts.all_code_rd:u	1	114864	0
l2_rqsts.all_code_rd:u	2	114392	0
fp_arith_inst_retired.scalar_double:u	1	1900000	0
fp_arith_inst_retired.scalar_double:u	2	1900000	0
fp_arith_inst_retired.scalar_double:u	3	1900000	0
fp_arith_inst_retired.scalar_double:u	4	1900000	0
fp_arith_inst_retired.scalar_double:u	5	1900000	0
br_misp_retired.indirect_call:u	1	433	0
br_misp_retired.indirect_call:u	2	7555	0
uops_dispatched.port_2_3_10:u	1	1554052961	0
uops_dispatched.port_2_3_10:u	2	1554117983	0
