event	round	count	exit
core_snoop_response.i_hit_fse:u	1	227744	0
core_snoop_response.i_hit_fse:u	2	224583	0
assists.fp:u	1	3	0
assists.fp:u	2	3	0
assists.fp:u	3	3	0
assists.fp:u	4	3	0
assists.fp:u	5	3	0
assists.fp:u	6	3	0
assists.fp:u	7	3	0
assists.fp:u	8	3	0
assists.fp:u	9	3	0
assists.fp:u	10	3	0
rtm_retired.aborted_mem:u	1	0	0
rtm_retired.aborted_mem:u	2	0	0
rtm_retired.aborted_mem:u	3	0	0
rtm_retired.aborted_mem:u	4	0	0
rtm_retired.aborted_mem:u	5	0	0
rtm_retired.aborted_mem:u	6	0	0
rtm_retired.aborted_mem:u	7	0	0
rtm_retired.aborted_mem:u	8	0	0
rtm_retired.aborted_mem:u	9	0	0
rtm_retired.aborted_mem:u	10	0	0
ld_blocks.no_sr:u	1	0	0
ld_blocks.no_sr:u	2	0	0
ld_blocks.no_sr:u	3	0	0
ld_blocks.no_sr:u	4	0	0
ld_blocks.no_sr:u	5	0	0
ld_blocks.no_sr:u	6	0	0
ld_blocks.no_sr:u	7	0	0
ld_blocks.no_sr:u	8	0	0
ld_blocks.no_sr:u	9	0	0
ld_blocks.no_sr:u	10	0	0
