event	round	count	exit
mem_inst_retired.stlb_miss_stores:u	1	10000	0
mem_inst_retired.stlb_miss_stores:u	2	10000	0
mem_inst_retired.stlb_miss_stores:u	3	10002	0
idq_bubbles.cycles_0_uops_deliv.core:u	1	262470227	0
idq_bubbles.cycles_0_uops_deliv.core:u	2	262508861	0
exe_activity.bound_on_stores:u	1	1290545	0
exe_activity.bound_on_stores:u	2	1275109	0
dtlb_load_misses.walk_completed_2m_4m:u	1	0	0
dtlb_load_misses.walk_completed_2m_4m:u	2	0	0
dtlb_load_misses.walk_completed_2m_4m:u	3	0	0
dtlb_load_misses.walk_completed_2m_4m:u	4	0	0
dtlb_load_misses.walk_completed_2m_4m:u	5	0	0
